acousticness,analysis_url,danceability,duration_ms,energy,track_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,artist_name,track_name,popularity,bbhot,artist_popularity,artist_followers
0.163,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,0.599,263400,0.448,0tgVpDi06FyKpA1z0VMD4v,0,8,0.106,-6.312,1,0.0232,95.05,3,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.168,Ed Sheeran,Perfect,89,1,92,43686535
0.0413,https://api.spotify.com/v1/audio-analysis/19Su1geq98yWYTe5wXTgAR,0.369,340426,0.721,19Su1geq98yWYTe5wXTgAR,0.000452,0,0.0861,-5.607,1,0.0398,141.09,4,https://api.spotify.com/v1/tracks/19Su1geq98yWYTe5wXTgAR,audio_features,spotify:track:19Su1geq98yWYTe5wXTgAR,0.132,The Band CAMINO,Young,47,1,65,64083
0.0359,https://api.spotify.com/v1/audio-analysis/2Zyk0on2N9vZyHueREwoJC,0.769,221206,0.505,2Zyk0on2N9vZyHueREwoJC,0.000106,11,0.107,-6.882,0,0.252,140.063,4,https://api.spotify.com/v1/tracks/2Zyk0on2N9vZyHueREwoJC,audio_features,spotify:track:2Zyk0on2N9vZyHueREwoJC,0.297,JID,Hasta Luego - Bonus,62,0,74,296145
0.0724,https://api.spotify.com/v1/audio-analysis/1qPF01k03Glhd1v11inAHq,0.934,178274,0.865,1qPF01k03Glhd1v11inAHq,0.000467,8,0.347,-3.657,1,0.28,134.103,4,https://api.spotify.com/v1/tracks/1qPF01k03Glhd1v11inAHq,audio_features,spotify:track:1qPF01k03Glhd1v11inAHq,0.512,DaBaby,Water,42,1,79,189593
0.544,https://api.spotify.com/v1/audio-analysis/7oCGD6Ccuw8JmYWw6IrI8z,0.844,214693,0.674,7oCGD6Ccuw8JmYWw6IrI8z,6.84E-05,6,0.0978,-4.308,1,0.105,103.002,4,https://api.spotify.com/v1/tracks/7oCGD6Ccuw8JmYWw6IrI8z,audio_features,spotify:track:7oCGD6Ccuw8JmYWw6IrI8z,0.766,Ozuna,Coméntale,73,0,95,16365809
0.312,https://api.spotify.com/v1/audio-analysis/2AF5Kzxb4pz7j79Ity84pP,0.48,391829,0.31,2AF5Kzxb4pz7j79Ity84pP,1.47E-05,9,0.113,-7.887,1,0.0258,86.149,4,https://api.spotify.com/v1/tracks/2AF5Kzxb4pz7j79Ity84pP,audio_features,spotify:track:2AF5Kzxb4pz7j79Ity84pP,0.16,Lucy Dacus,Night Shift,62,1,63,61643
0.0996,https://api.spotify.com/v1/audio-analysis/2MShy1GSSgbmGUxADNIao5,0.91,152000,0.366,2MShy1GSSgbmGUxADNIao5,0,1,0.261,-9.954,1,0.0941,119.985,4,https://api.spotify.com/v1/tracks/2MShy1GSSgbmGUxADNIao5,audio_features,spotify:track:2MShy1GSSgbmGUxADNIao5,0.74,Kodak Black,Calling My Spirit,84,1,88,4645651
0.0613,https://api.spotify.com/v1/audio-analysis/2iVQMhKnFZqomOhcGv340f,0.559,214875,0.606,2iVQMhKnFZqomOhcGv340f,0,0,0.095,-6.857,1,0.0321,79.98,4,https://api.spotify.com/v1/tracks/2iVQMhKnFZqomOhcGv340f,audio_features,spotify:track:2iVQMhKnFZqomOhcGv340f,0.503,The Phantoms,Watch Me,59,1,51,17245
0.751,https://api.spotify.com/v1/audio-analysis/0R6Jlsq25eZB3Wftpxi3oF,0.341,112013,0.495,0R6Jlsq25eZB3Wftpxi3oF,0.462,0,0.261,-10.251,0,0.0446,78.395,4,https://api.spotify.com/v1/tracks/0R6Jlsq25eZB3Wftpxi3oF,audio_features,spotify:track:0R6Jlsq25eZB3Wftpxi3oF,0.252,Post Malone,Jonestown (Interlude),68,0,96,13573521
0.0513,https://api.spotify.com/v1/audio-analysis/0eaFGIJGHgwKGDcVwHnc7t,0.538,186813,0.787,0eaFGIJGHgwKGDcVwHnc7t,2.68E-05,1,0.169,-4.617,1,0.0543,170.023,3,https://api.spotify.com/v1/tracks/0eaFGIJGHgwKGDcVwHnc7t,audio_features,spotify:track:0eaFGIJGHgwKGDcVwHnc7t,0.701,Jessie Mueller,Bad Idea,57,1,62,12140
0.0466,https://api.spotify.com/v1/audio-analysis/48QmG1dfvMuYLxMPt7KSRA,0.742,221176,0.882,48QmG1dfvMuYLxMPt7KSRA,0,7,0.206,-2.862,1,0.117,102.04,4,https://api.spotify.com/v1/tracks/48QmG1dfvMuYLxMPt7KSRA,audio_features,spotify:track:48QmG1dfvMuYLxMPt7KSRA,0.463,Sean Paul,No Lie,78,0,85,2422100
0.131,https://api.spotify.com/v1/audio-analysis/4fhKaRCxbWXA3BwAr3Zxjx,0.555,210173,0.895,4fhKaRCxbWXA3BwAr3Zxjx,0,5,0.0922,-4.787,1,0.0472,138.076,4,https://api.spotify.com/v1/tracks/4fhKaRCxbWXA3BwAr3Zxjx,audio_features,spotify:track:4fhKaRCxbWXA3BwAr3Zxjx,0.38,Travis Denning,David Ashley Parker From Powder Springs,63,0,54,5040
0.00069,https://api.spotify.com/v1/audio-analysis/4kPrcceniY2kYb6zRF1vz6,0.682,287335,0.797,4kPrcceniY2kYb6zRF1vz6,0.248,8,0.032,-4.91,0,0.0539,125.006,4,https://api.spotify.com/v1/tracks/4kPrcceniY2kYb6zRF1vz6,audio_features,spotify:track:4kPrcceniY2kYb6zRF1vz6,0.658,Oliver Heldens,Waiting,60,1,74,724731
0.358,https://api.spotify.com/v1/audio-analysis/6CdUgvL597jWmW4w8P5kHs,0.36,209157,0.565,6CdUgvL597jWmW4w8P5kHs,0,7,0.0448,-4.898,1,0.0608,173.281,4,https://api.spotify.com/v1/tracks/6CdUgvL597jWmW4w8P5kHs,audio_features,spotify:track:6CdUgvL597jWmW4w8P5kHs,0.311,TAEYEON,Fine,62,1,68,747234
0.0959,https://api.spotify.com/v1/audio-analysis/2BAmF6QyK5IYEOp1TFmt0u,0.721,236587,0.513,2BAmF6QyK5IYEOp1TFmt0u,0,7,0.341,-7.882,0,0.121,124.02,4,https://api.spotify.com/v1/tracks/2BAmF6QyK5IYEOp1TFmt0u,audio_features,spotify:track:2BAmF6QyK5IYEOp1TFmt0u,0.31,Young Thug,Feel It,62,1,86,4008495
0.207,https://api.spotify.com/v1/audio-analysis/2WqTKOAUmv7hz9ZzGnXHrY,0.932,222958,0.658,2WqTKOAUmv7hz9ZzGnXHrY,0,1,0.118,-7.708,0,0.353,109.973,4,https://api.spotify.com/v1/tracks/2WqTKOAUmv7hz9ZzGnXHrY,audio_features,spotify:track:2WqTKOAUmv7hz9ZzGnXHrY,0.695,Lil Baby,Realist In It (feat. Gucci Mane & Offset),68,0,89,2057232
0.991,https://api.spotify.com/v1/audio-analysis/4jDM4Lr6D0z3uk0UGgYbZL,0.242,191251,0.0887,4jDM4Lr6D0z3uk0UGgYbZL,0.928,2,0.639,-26.86,1,0.0551,135.897,4,https://api.spotify.com/v1/tracks/4jDM4Lr6D0z3uk0UGgYbZL,audio_features,spotify:track:4jDM4Lr6D0z3uk0UGgYbZL,0.0396,I Am Dive,Sunset,46,1,32,1528
0.439,https://api.spotify.com/v1/audio-analysis/5MYYZbWQURrLcgim1jGvm6,0.671,251161,0.451,5MYYZbWQURrLcgim1jGvm6,3.56E-05,0,0.165,-9.69,1,0.0637,131.982,4,https://api.spotify.com/v1/tracks/5MYYZbWQURrLcgim1jGvm6,audio_features,spotify:track:5MYYZbWQURrLcgim1jGvm6,0.455,Patrick Droney,High Hope,62,1,49,5074
0.07,https://api.spotify.com/v1/audio-analysis/4YispFW4Atf5liJToaW01i,0.715,186960,0.72,4YispFW4Atf5liJToaW01i,0,10,0.22,-5.354,0,0.0598,145.076,4,https://api.spotify.com/v1/tracks/4YispFW4Atf5liJToaW01i,audio_features,spotify:track:4YispFW4Atf5liJToaW01i,0.52,YK Osiris,Timing,67,0,73,173977
0.276,https://api.spotify.com/v1/audio-analysis/6Km73Tlvi4yS2e4XaIuXek,0.803,181613,0.637,6Km73Tlvi4yS2e4XaIuXek,1.68E-05,4,0.22,-7.191,0,0.105,97.032,4,https://api.spotify.com/v1/tracks/6Km73Tlvi4yS2e4XaIuXek,audio_features,spotify:track:6Km73Tlvi4yS2e4XaIuXek,0.5,Rejjie Snow,23,60,0,65,164437
0.189,https://api.spotify.com/v1/audio-analysis/5a3cnyx9ic2LxkRiXj9PyW,0.774,229625,0.614,5a3cnyx9ic2LxkRiXj9PyW,4.36E-05,9,0.113,-9.416,0,0.15,105.023,4,https://api.spotify.com/v1/tracks/5a3cnyx9ic2LxkRiXj9PyW,audio_features,spotify:track:5a3cnyx9ic2LxkRiXj9PyW,0.487,Merkules,Way Down,57,1,63,134437
0.136,https://api.spotify.com/v1/audio-analysis/4f3fb3alVLFc8Ga4ncpg7x,0.57,213183,0.684,4f3fb3alVLFc8Ga4ncpg7x,0,6,0.205,-7.054,1,0.0465,89.012,4,https://api.spotify.com/v1/tracks/4f3fb3alVLFc8Ga4ncpg7x,audio_features,spotify:track:4f3fb3alVLFc8Ga4ncpg7x,0.531,Morgan Evans,Kiss Somebody,70,1,64,46177
0.0414,https://api.spotify.com/v1/audio-analysis/3oDkdAySo1VQQG0ptV7uwa,0.665,175755,0.651,3oDkdAySo1VQQG0ptV7uwa,0,1,0.0896,-5.515,1,0.156,163.935,4,https://api.spotify.com/v1/tracks/3oDkdAySo1VQQG0ptV7uwa,audio_features,spotify:track:3oDkdAySo1VQQG0ptV7uwa,0.237,Juice WRLD,Lean Wit Me,84,1,94,4121119
